iter	RMSE
0	64.90263153
1	64.37793341
2	63.85664834
3	63.32897749
4	62.82977972
5	62.33628929
6	61.84426452
7	61.33367741
8	60.83327384
9	60.35217202
10	59.87382244
11	59.38402656
12	58.90082599
13	58.41382523
14	57.94488074
15	57.46884729
16	56.99973079
17	56.55810156
18	56.0973805
19	55.66258324
20	55.19991785
21	54.79567089
22	54.36966685
23	53.93964111
24	53.53355909
25	53.09945201
26	52.67827068
27	52.27796287
28	51.87111162
29	51.45820613
30	51.07454895
31	50.66688087
32	50.26701095
33	49.86276096
34	49.48440247
35	49.12628756
36	48.74058977
37	48.37351325
38	48.00321257
39	47.63213787
40	47.27476023
41	46.93124556
42	46.57608441
43	46.21986844
44	45.87535249
45	45.57641878
46	45.23576213
47	44.89197638
48	44.55034135
49	44.2238618
50	43.88638432
51	43.55501573
52	43.23167826
53	42.90539979
54	42.58668958
55	42.27562744
56	41.95858875
57	41.64999547
58	41.34729161
59	41.05990529
60	40.76090698
61	40.47348774
62	40.18433034
63	39.90575891
64	39.61886373
65	39.338463
66	39.0672971
67	38.78928331
68	38.51534531
69	38.25815474
70	37.98854512
71	37.72592803
72	37.47535701
73	37.22623547
74	36.97573813
75	36.72701549
76	36.48260777
77	36.23962287
78	36.00746748
79	35.76563764
80	35.52305366
81	35.29221124
82	35.0735801
83	34.84123745
84	34.60731081
85	34.38783825
86	34.16634625
87	33.94308614
88	33.74110165
89	33.52536016
90	33.31111644
91	33.10490854
92	32.90149512
93	32.70058344
94	32.4980064
95	32.30519777
96	32.11952091
97	31.92520696
98	31.73525553
99	31.54743694
100	31.35810577
101	31.17186169
102	30.99654382
103	30.81246484
104	30.64183765
105	30.46659286
106	30.29373164
107	30.12161202
108	29.95268638
109	29.78953217
110	29.61932362
111	29.46593758
112	29.30415458
113	29.1535706
114	28.99519124
115	28.84301025
116	28.68769815
117	28.53165501
118	28.38136265
119	28.23079422
120	28.08532272
121	27.93930371
122	27.79395555
123	27.65127578
124	27.51820874
125	27.3802425
126	27.24439678
127	27.10807005
128	26.98075871
129	26.85858581
130	26.73195227
131	26.60542631
132	26.47919269
133	26.36186274
134	26.24571753
135	26.12652906
136	26.00604234
137	25.89171315
138	25.77718288
139	25.6649993
140	25.55237522
141	25.44328299
142	25.33327957
143	25.22897454
144	25.12247136
145	25.01312307
146	24.90741102
147	24.80416568
148	24.70006064
149	24.599547
150	24.50202282
151	24.40655329
152	24.3098675
153	24.21439363
154	24.12209805
155	24.02956813
156	23.94712827
157	23.86042718
158	23.77239886
159	23.68459891
160	23.59919297
161	23.51199121
162	23.42739086
163	23.34262142
164	23.25894669
165	23.17945508
166	23.10830121
167	23.03225856
168	22.95356986
169	22.877491
170	22.79988857
171	22.72645281
172	22.6499964
173	22.58136187
174	22.51831685
175	22.44840575
176	22.37825924
177	22.31080228
178	22.24322987
179	22.17877566
180	22.11296754
181	22.0421083
182	21.97698652
183	21.91600158
184	21.8532314
185	21.78660593
186	21.72269721
187	21.67163211
188	21.61897911
189	21.56376137
190	21.50736206
191	21.44800995
192	21.39081263
193	21.33402453
194	21.27467394
195	21.221704
196	21.16665772
197	21.1110588
198	21.05641911
199	21.00940744
200	20.95927221
201	20.90513148
202	20.85751475
203	20.81120095
204	20.76598491
205	20.71778726
206	20.66841455
207	20.63123478
208	20.59472252
209	20.55886683
210	20.51985342
211	20.47672254
212	20.43797157
213	20.39110139
214	20.35193041
215	20.30874759
216	20.26392309
217	20.21892285
218	20.17975237
219	20.14942248
220	20.11625431
221	20.07405517
222	20.03510102
223	19.9962818
224	19.95838997
225	19.92066717
226	19.88483633
227	19.84675436
228	19.81432299
229	19.78238042
230	19.74896613
231	19.71071428
232	19.67437541
233	19.63789756
234	19.60959108
235	19.58151709
236	19.5545882
237	19.52121157
238	19.48866016
239	19.46388794
240	19.4332357
241	19.40132753
242	19.3714355
243	19.33900569
244	19.30873662
245	19.27811468
246	19.25444611
247	19.23209759
248	19.20582339
249	19.18063806
250	19.15202728
251	19.12698746
252	19.09709782
253	19.07185078
254	19.04908248
255	19.02781502
256	18.99861409
257	18.96922164
258	18.94014683
259	18.91887248
260	18.89575046
261	18.87441573
262	18.84988869
263	18.83051463
264	18.80494726
265	18.77798103
266	18.75881143
267	18.7436438
268	18.71609707
269	18.69218356
270	18.66841073
271	18.64116258
272	18.61869304
273	18.59905093
274	18.58504722
275	18.56672973
276	18.54573138
277	18.52388196
278	18.505691
279	18.48539871
280	18.46279011
281	18.44184454
282	18.41667969
283	18.39371019
284	18.38000182
285	18.36493492
286	18.34372719
287	18.32359967
288	18.30889881
289	18.28965754
290	18.27701349
291	18.2565319
292	18.24233591
293	18.22790784
294	18.20628058
295	18.19542776
296	18.18077892
297	18.16816979
298	18.15377046
299	18.13365244
300	18.12599561
301	18.10527684
302	18.08970445
303	18.07141167
304	18.05569566
305	18.04163431
306	18.02702999
307	18.0161057
308	17.99822174
309	17.98620786
310	17.96779959
311	17.95012151
312	17.93876511
313	17.9253697
314	17.9163659
315	17.90776558
316	17.8942387
317	17.87640754
318	17.86037959
319	17.85068554
320	17.83932974
321	17.83345351
322	17.81462815
323	17.80341287
324	17.79598128
325	17.78092754
326	17.76603985
327	17.75241093
328	17.74553989
329	17.7344675
330	17.72266021
331	17.714627
332	17.69801451
333	17.6876758
334	17.66915132
335	17.65718964
336	17.64473971
337	17.63418327
338	17.62026451
339	17.6135792
340	17.59856991
341	17.5841614
342	17.57875429
343	17.56853203
344	17.55694153
345	17.5486438
346	17.53399149
347	17.51673819
348	17.50633488
349	17.50118299
350	17.49264659
351	17.47903469
352	17.46424681
353	17.45097637
354	17.43617941
355	17.4270066
356	17.41153715
357	17.3995387
358	17.38916992
359	17.37769232
360	17.37256404
361	17.35687817
362	17.34675272
363	17.33149943
364	17.32264401
365	17.31155765
366	17.30215847
367	17.29516723
368	17.29021425
369	17.28683016
370	17.27451329
371	17.26948906
372	17.26028335
373	17.25091281
374	17.23948408
375	17.22663508
376	17.21499188
377	17.20967089
378	17.2067049
379	17.19736411
380	17.18484826
381	17.18104566
382	17.17545643
383	17.16321532
384	17.15522864
385	17.14769749
386	17.13916358
387	17.12841799
388	17.1223729
389	17.11402493
390	17.10315549
391	17.09926862
392	17.09409093
393	17.08531485
394	17.07790677
395	17.06704881
396	17.06338572
397	17.0539791
398	17.05082912
399	17.04561901
400	17.0362519
401	17.03305186
402	17.02527528
403	17.02184111
404	17.01855754
405	17.01341465
406	17.00529531
407	16.99456603
408	16.98831919
409	16.98316173
410	16.97165865
411	16.9625428
412	16.95127692
413	16.9420514
414	16.93395074
415	16.93145149
416	16.92190492
417	16.91158125
418	16.90311756
419	16.89612062
420	16.89518321
421	16.8845593
422	16.87680716
423	16.87095364
424	16.86144188
425	16.85853501
426	16.8546968
427	16.85383853
428	16.85302645
429	16.8485121
430	16.83598216
