iter	Passed	Remaining
405	6844	111171
406	6864	111195
407	6883	111223
408	6900	111202
409	6920	111231
410	6940	111264
411	6959	111280
412	6978	111301
413	6997	111317
414	7016	111333
415	7027	111228
416	7046	111234
417	7065	111252
418	7084	111277
419	7104	111296
420	7111	111127
421	7130	111146
422	7149	111164
423	7169	111191
424	7188	111204
425	7197	111073
426	7209	110977
427	7218	110842
428	7225	110675
429	7244	110693
430	7264	110714
431	7283	110729
432	7302	110749
433	7321	110766
434	7330	110637
435	7347	110618
436	7366	110636
437	7386	110655
438	7405	110672
439	7419	110613
440	7438	110634
441	7460	110692
442	7472	110608
443	7494	110655
444	7513	110677
445	7532	110693
446	7544	110605
447	7563	110613
448	7582	110630
449	7601	110644
450	7610	110513
451	7628	110516
452	7640	110427
453	7659	110432
454	7678	110449
455	7692	110396
456	7709	110378
457	7728	110397
458	7735	110241
459	7752	110221
460	7772	110241
461	7791	110260
462	7810	110273
463	7829	110285
464	7848	110295
465	7866	110304
466	7880	110246
467	7892	110163
468	7912	110182
469	7931	110193
470	7949	110200
471	7968	110212
472	7987	110223
473	8006	110235
474	8013	110080
475	8032	110092
476	8051	110103
477	8063	110021
478	8081	110024
479	8095	109963
480	8113	109967
481	8132	109974
482	8150	109977
483	8169	109977
484	8187	109979
485	8196	109858
486	8214	109859
487	8233	109871
488	8252	109878
489	8270	109880
490	8288	109883
491	8308	109895
492	8326	109900
493	8345	109905
494	8365	109930
495	8383	109936
496	8402	109944
497	8421	109955
498	8441	109973
499	8457	109952
500	8476	109956
501	8494	109959
502	8513	109968
503	8532	109977
504	8551	109986
505	8570	109994
506	8589	109998
507	8602	109934
508	8620	109938
509	8639	109947
510	8649	109838
511	8672	109894
512	8695	109953
513	8718	110014
514	8737	110028
515	8760	110088
516	8783	110144
517	8806	110196
518	8829	110252
519	8851	110305
520	8874	110358
521	8896	110411
522	8914	110395
523	8936	110448
524	8960	110511
525	8983	110565
526	8997	110510
527	9013	110477
528	9035	110522
529	9058	110582
530	9078	110594
531	9101	110650
532	9124	110703
533	9135	110621
534	9155	110637
535	9172	110615
536	9194	110660
537	9211	110640
538	9234	110690
539	9245	110605
540	9268	110652
541	9282	110607
542	9294	110526
543	9310	110499
544	9330	110507
545	9354	110571
546	9377	110629
547	9400	110682
548	9425	110753
549	9449	110812
550	9472	110868
551	9484	110787
552	9506	110826
553	9529	110879
554	9551	110921
555	9576	110986
556	9600	111050
557	9624	111108
558	9647	111159
559	9670	111206
560	9692	111247
561	9706	111192
562	9728	111234
563	9751	111281
564	9774	111329
565	9799	111399
566	9822	111440
567	9842	111452
568	9858	111425
569	9881	111475
570	9904	111518
571	9928	111570
572	9951	111617
573	9971	111633
574	9994	111681
575	10018	111729
576	10041	111773
577	10063	111815
578	10087	111862
579	10110	111908
580	10133	111954
581	10156	112003
582	10179	112041
583	10201	112081
584	10225	112126
585	10248	112176
586	10262	112120
587	10285	112163
588	10305	112174
589	10328	112210
590	10351	112253
591	10370	112257
592	10393	112297
593	10432	112506
594	10463	112636
595	10494	112766
596	10521	112847
597	10553	112985
598	10573	112995
599	10597	113042
600	10621	113085
601	10638	113061
602	10652	113007
603	10675	113045
604	10690	112998
605	10712	113030
606	10735	113067
607	10759	113118
608	10783	113159
609	10797	113113
610	10809	113030
611	10832	113064
612	10849	113041
613	10858	112934
614	10881	112974
615	10905	113016
616	10928	113059
617	10951	113096
618	10975	113140
619	10994	113141
620	11017	113174
